Region,Chart,Name,Unit,Source,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Worldwide,Price per Unit,Average,USD (US$),Statista,40.99,41.67,42.28,39.38,40.11,41.85,42.76,42.64,36.79,41.8,44.2,46.94,48.02,48.96
Worldwide,Price per Unit,Cocoa,USD (US$),Statista,11.26,11.56,11.68,10.9,10.92,11.28,11.29,11.25,10.33,11.23,11.77,12.25,12.46,12.64
Worldwide,Price per Unit,Coffee,USD (US$),Statista,56.66,57.63,58.32,53.25,54.73,57.26,58.95,58.88,50.25,58.12,61.94,66.03,67.9,69.55
Worldwide,Price per Unit,Tea,USD (US$),Statista,28.86,29.51,30.39,29.61,30,31.11,31.7,31.67,28.45,31.34,33.06,34.86,35.5,36.07
Worldwide,Revenue by Segment,Total,billion USD (US$),Statista,503.7,530.5,554.7,531.5,557.9,596.9,626.5,641.1,540,646.3,672.4,763.1,798.3,831.6
Worldwide,Revenue by Segment,Cocoa,billion USD (US$),Statista,13.52,14.24,14.72,13.87,14.71,15.23,16.1,16.51,15.34,17.65,18.06,20.35,21.32,22.3
Worldwide,Revenue by Segment,Coffee,billion USD (US$),Statista,346.9,362.5,374.9,350.5,368.2,394.1,413.6,421.8,344.2,419.6,433.6,495.5,518.9,540.8
Worldwide,Revenue by Segment,Tea,billion USD (US$),Statista,143.3,153.7,165,167.1,174.9,187.5,196.8,202.8,180.4,209,220.7,247.2,258.1,268.5
Worldwide,Revenue Change by Segment,Total,percent,Statista,,5.323,4.556,-4.183,4.964,6.995,4.972,2.323,-15.777,19.69,4.043,13.482,4.617,4.173
Worldwide,Revenue Change by Segment,Cocoa,percent,Statista,,5.276,3.404,-5.762,6.013,3.544,5.757,2.523,-7.065,15.027,2.3,12.706,4.759,4.593
Worldwide,Revenue Change by Segment,Coffee,percent,Statista,,4.514,3.41,-6.512,5.057,7.033,4.951,1.972,-18.393,21.9,3.347,14.266,4.729,4.222
Worldwide,Revenue Change by Segment,Tea,percent,Statista,,7.288,7.363,1.247,4.681,7.204,4.953,3.043,-11.043,15.872,5.588,12.006,4.382,4.04
Worldwide,Average Revenue per Capita,Total,USD (US$),Statista,73.58,76.61,79.19,75.03,77.89,82.43,85.61,86.7,72.29,85.69,88.33,99.34,103,106.4
Worldwide,Average Revenue per Capita,Cocoa,USD (US$),Statista,1.975,2.056,2.102,1.958,2.053,2.103,2.201,2.233,2.054,2.34,2.372,2.649,2.751,2.853
Worldwide,Average Revenue per Capita,Coffee,USD (US$),Statista,50.67,52.36,53.53,49.48,51.41,54.43,56.52,57.04,46.08,55.63,56.96,64.5,66.96,69.19
Worldwide,Average Revenue per Capita,Tea,USD (US$),Statista,20.93,22.2,23.56,23.59,24.42,25.9,26.89,27.43,24.15,27.72,28.99,32.18,33.3,34.35
Worldwide,Online Revenue Share,Offline,percent,Statista,,,,,,97.769,97.117,96.429,94.873,94.174,93.996,93.656,93.183,92.613
Worldwide,Online Revenue Share,Online,percent,Statista,,,,,,2.231,2.883,3.571,5.127,5.826,6.004,6.344,6.817,7.387
Worldwide,Mobile/Desktop Split,Desktop,percent,Statista,,,,,,45.456,48.004,49.286,51.732,49.459,43.848,39.487,36.66,34.121
Worldwide,Mobile/Desktop Split,Mobile,percent,Statista,,,,,,54.544,51.996,50.714,48.268,50.541,56.152,60.513,63.34,65.879
Worldwide,Out-of-Home Revenue Share,"At home, value share",percent,Statista,30.319,30.724,30.445,30.01,29.535,29.202,28.716,28.512,33.624,30.149,29.109,27.927,27.676,27.475
Worldwide,Out-of-Home Revenue Share,"Out of home, value share",percent,Statista,69.681,69.276,69.555,69.99,70.465,70.798,71.284,71.488,66.376,69.851,70.891,72.073,72.324,72.525
Worldwide,Out-of-Home Volume Share,"At home, volume share",percent,Statista,89.4,89.256,89.071,88.844,88.666,88.47,88.383,88.269,90.559,89.171,88.7,88.066,88.003,87.957
Worldwide,Out-of-Home Volume Share,"Out of home, volume share",percent,Statista,10.6,10.744,10.929,11.156,11.334,11.53,11.617,11.731,9.441,10.829,11.3,11.934,11.997,12.043
